Req ID,Name,Subsystem,Description,Acceptance Criteria
REQ-0010,Temperature Sensing,Sensor Driver,Read raw temperature from ADC and post sensor data events,Sensor_ReadTemperature returns valid ADC reading; EVENT:SENSOR_DATA_READY posted
REQ-0011,Humidity Sensing,Sensor Driver,Read raw humidity from ADC and post sensor data events,Sensor_ReadHumidity returns valid ADC reading; EVENT:SENSOR_DATA_READY posted
REQ-0012,Sensor Calibration,Sensor Driver,Apply factory calibration offsets using controller data,Sensor_Calibrate retrieves and applies offsets from Controller_GetCalibration
REQ-0020,Remote Status Reporting,Comm Manager,Publish device status to cloud via MQTT and handle shadow sync,Comm_SendStatus publishes to MQTT; shadow events update connectivity state
REQ-0021,Remote Command Handling,Comm Manager,Receive remote commands and dispatch control actions,Comm_OnRemoteCommand parses command and posts EVENT:CONTROL_ACTION
REQ-0030,Control Loop Processing,Controller,Process sensor data against thresholds and dispatch control actions,Controller_OnSensorData evaluates thresholds; Controller_ReportStatus sends status
REQ-0040,OTA Firmware Update,OTA Manager,Orchestrate firmware update: download coordination and flash write and verify,OTA state machine progresses through download/write/verify; CRC passes before reporting success
REQ-0041,OTA Download Coordination,Comm Manager,Stream firmware chunks from HTTP server for OTA processing,Comm_DownloadFirmware streams chunks and posts completion event
REQ-0050,Event Bus Infrastructure,Event Bus,Bitmask-based event registration and dispatch for inter-module communication,Event_register accepts bitmask+handler; Event_post dispatches to matching handlers
REQ-PROD-001,Device Environmental Monitoring,Product,The system shall continuously monitor temperature and humidity and report to cloud,Sensor readings aggregated and transmitted; cloud receives telemetry within reporting interval
REQ-PROD-002,Remote Device Control,Product,The system shall accept remote commands from cloud and execute control actions,Cloud command received within 30s; control action executed and status reported back
REQ-PROD-003,Over-the-Air Firmware Update,Product,The system shall support remote firmware updates with integrity verification,OTA completes download/flash/verify cycle; device reports success or failure to cloud
